edicao_super_bowl;canal;media_us_telespectadores;total_us_telespectadores;nota_telespectadores;custos_anuncio
52;NBC;103,390,000.00;NaN;43.10;5,000,000.00
51;Fox;111,319,000.00;172,000,000.00;45.30;5,000,000.00
50;CBS;111,864,000.00;167,000,000.00;46.60;5,000,000.00
49;NBC;114,442,000.00;168,000,000.00;47.50;4,500,000.00
48;Fox;112,191,000.00;167,000,000.00;46.70;4,000,000.00
47;CBS;108,693,000.00;164,100,000.00;46.30;4,000,000.00
46;NBC;111,346,000.00;163,500,000.00;47.00;3,500,000.00
45;Fox;111,041,000.00;162,900,000.00;46.00;3,100,000.00
44;CBS;106,476,000.00;153,400,000.00;45.00;2,800,000.00
43;NBC;98,732,000.00;151,600,000.00;42.00;3,000,000.00
42;Fox;97,448,000.00;148,300,000.00;43.10;2,699,963.00
41;CBS;93,184,000.00;139,800,000.00;42.60;2,385,365.00
40;ABC;90,745,000.00;141,400,000.00;41.60;2,500,000.00
39;Fox;86,072,000.00;NaN;41.10;2,400,000.00
38;CBS;89,795,000.00;144,400,000.00;41.40;2,302,200.00
37;ABC;88,637,000.00;138,500,000.00;40.70;2,200,000.00
36;Fox;86,801,000.00;NaN;40.40;2,200,000.00
35;CBS;84,335,000.00;NaN;40.40;2,200,000.00
34;ABC;88,465,000.00;NaN;43.30;2,100,000.00
33;Fox;83,720,000.00;NaN;40.20;1,600,000.00
32;NBC;90,000,000.00;NaN;44.50;1,291,100.00
31;Fox;87,870,000.00;NaN;43.30;1,200,000.00
30;NBC;94,080,000.00;NaN;46.00;1,085,000.00
29;ABC;83,420,000.00;NaN;41.30;1,150,000.00
28;NBC;90,000,000.00;NaN;45.50;900,000.00
27;NBC;90,990,000.00;NaN;45.10;850,000.00
26;CBS;79,590,000.00;NaN;40.30;850,000.00
25;ABC;79,510,000.00;NaN;41.90;800,000.00
24;CBS;73,852,000.00;NaN;39.00;700,400.00
23;NBC;81,590,000.00;NaN;43.50;675,000.00
22;ABC;80,140,000.00;NaN;41.90;645,000.00
21;CBS;87,190,000.00;NaN;45.80;600,000.00
20;NBC;92,570,000.00;NaN;48.30;550,000.00
19;ABC;85,530,000.00;NaN;46.40;525,000.00
18;CBS;77,620,000.00;NaN;46.40;368,200.00
17;NBC;81,770,000.00;NaN;48.60;400,000.00
16;CBS;85,240,000.00;NaN;49.10;324,300.00
15;NBC;68,290,000.00;NaN;44.40;275,000.00
14;CBS;76,240,000.00;NaN;46.30;222,000.00
13;NBC;74,740,000.00;NaN;47.10;185,000.00
12;CBS;78,940,000.00;NaN;47.20;162,300.00
11;NBC;62,050,000.00;NaN;44.40;125,000.00
10;CBS;57,710,000.00;NaN;42.30;110,000.00
9;NBC;56,050,000.00;NaN;42.40;107,000.00
8;CBS;51,700,000.00;NaN;41.60;103,500.00
7;NBC;53,320,000.00;NaN;42.70;88,100.00
6;CBS;56,640,000.00;NaN;44.20;86,100.00
5;NBC;46,040,000.00;NaN;39.90;72,500.00
4;CBS;44,270,000.00;NaN;39.40;78,200.00
3;NBC;41,660,000.00;NaN;36.00;55,000.00
2;CBS;39,120,000.00;NaN;36.80;54,500.00
1;CBS;26,750,000.00;51,180,000.00;22.60;42,500.00
1;NBC;24,430,000.00;NaN;18.50;37,500.00
